Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Mechanic,51531,0,Bachelor's,0.26,0.94,0.69,Medium,0.58,0.46,0.7,0.66,0.37,0.62,0.87,0.11,0.32,0.62
Truck Driver,57373,26,High School,0.29,0.96,0.84,High,0.95,0.27,0.34,0.85,0.27,0.18,0.54,0.47,0.01,0.5
Doctor,210871,15,PhD,0.46,1.11,0.1,Low,0.27,0.54,0.95,0.09,0.88,0.8,0.97,0.51,0.59,0.93
Graphic Designer,61836,3,Bachelor's,0.69,1.02,0.43,Medium,0.18,0.74,0.75,0.23,0.3,0.67,0.52,0.1,0.76,0.55
Lawyer,126999,24,PhD,0.84,1.12,0.37,Low,0.29,0.62,1.0,0.45,0.78,0.68,0.25,0.83,0.51,0.75
Construction Worker,54413,8,High School,0.09,0.51,0.79,High,0.6,0.06,0.57,0.76,0.26,0.29,0.94,0.05,0.3,0.8
AI Engineer,114127,7,Bachelor's,1.0,1.38,0.27,Medium,0.14,0.96,0.94,0.24,0.61,0.3,0.44,0.62,0.87,0.81
Financial Analyst,73852,24,Master's,0.53,1.2,0.55,Medium,0.6,0.85,0.7,0.57,0.59,0.08,0.22,0.85,0.56,0.5
Financial Analyst,74562,30,Bachelor's,0.67,1.45,0.45,Medium,0.38,0.8,0.6,0.65,0.63,0.5,0.12,0.9,0.26,0.57
UX Researcher,88903,4,PhD,0.64,1.22,0.22,Low,0.25,0.85,0.8,0.34,0.76,0.77,0.31,0.39,0.71,0.71
Research Scientist,111468,19,Master's,0.46,1.19,0.18,Low,0.31,0.87,0.88,0.26,0.65,0.43,0.55,0.73,0.73,0.77
Software Engineer,119932,14,Bachelor's,0.77,1.5,0.36,Medium,0.17,0.97,0.97,0.34,0.4,0.42,0.18,0.57,0.8,0.78
Truck Driver,63263,8,High School,0.27,0.85,0.85,High,0.8,0.2,0.46,0.9,0.0,0.28,0.6,0.42,0.0,0.18
HR Specialist,53347,29,Bachelor's,0.41,0.83,0.46,Medium,0.43,0.63,0.43,0.4,0.98,0.77,0.27,0.63,0.19,0.58
Retail Worker,35115,5,High School,0.42,0.64,0.76,High,0.77,0.36,0.29,0.83,0.18,0.47,0.45,0.31,0.0,0.57
Research Scientist,119105,11,PhD,0.53,1.36,0.07,Low,0.25,0.89,0.76,0.23,0.67,0.24,0.63,0.67,0.94,0.66
Chef,50765,13,Bachelor's,0.33,0.86,0.48,Medium,0.58,0.11,0.77,0.52,0.63,0.38,1.0,0.11,0.86,0.77
Construction Worker,53946,20,High School,0.05,0.66,0.85,High,0.68,0.18,0.42,0.7,0.19,0.32,0.81,0.18,0.29,0.69
Retail Worker,31968,14,Bachelor's,0.26,0.84,0.72,High,0.89,0.28,0.36,0.86,0.01,0.61,0.35,0.42,0.34,0.43
Teacher,63412,2,Master's,0.37,0.92,0.12,Medium,0.22,0.61,0.67,0.49,0.82,0.95,0.08,0.35,0.54,0.85
Financial Analyst,90820,10,Bachelor's,0.83,1.13,0.47,Medium,0.24,1.0,0.75,0.61,0.72,0.63,0.29,0.99,0.41,0.49
Security Guard,33726,24,Master's,0.2,0.78,0.95,High,0.75,0.22,0.33,0.66,0.19,0.23,0.52,0.5,0.11,0.55
Construction Worker,56359,29,Bachelor's,0.15,0.64,0.95,High,1.0,0.34,0.38,0.72,0.14,0.2,0.67,0.14,0.13,0.9
Chef,48927,4,Bachelor's,0.26,0.88,0.61,Medium,0.6,0.44,0.61,0.65,0.66,0.35,0.82,0.36,0.82,0.86
Chef,54044,32,Master's,0.22,0.88,0.46,Medium,0.42,0.18,0.64,0.59,0.49,0.4,0.73,0.09,0.87,0.86
UX Researcher,90732,23,Master's,0.86,1.2,0.32,Low,0.16,0.7,0.7,0.26,0.66,0.89,0.25,0.38,0.83,0.62
Construction Worker,54620,13,High School,0.31,0.63,0.87,High,0.65,0.33,0.58,0.72,0.07,0.32,0.91,0.06,0.34,0.93
Software Engineer,115531,9,Master's,0.72,1.43,0.42,Medium,0.47,0.93,0.96,0.44,0.54,0.35,0.26,0.62,0.57,0.69
Research Scientist,98181,26,PhD,0.68,1.42,0.05,Low,0.31,0.68,1.0,0.41,0.65,0.45,0.7,0.72,0.9,0.56
Doctor,236001,8,PhD,0.64,1.35,0.08,Low,0.26,0.68,0.91,0.13,0.97,1.0,0.83,0.27,0.46,0.94
Nurse,76659,30,Bachelor's,0.4,1.05,0.17,Medium,0.42,0.73,0.78,0.5,0.63,0.76,0.78,0.61,0.29,0.85
Software Engineer,149588,3,Master's,0.68,1.48,0.19,Medium,0.27,0.8,0.89,0.33,0.43,0.38,0.21,0.71,0.67,0.85
HR Specialist,67428,9,Bachelor's,0.43,1.0,0.53,Medium,0.55,0.59,0.5,0.29,0.55,0.66,0.34,0.71,0.44,0.38
Research Scientist,134115,4,PhD,0.55,1.34,0.09,Low,0.08,0.99,0.93,0.29,0.76,0.56,0.68,0.61,0.82,0.94
Data Scientist,97148,8,Master's,0.89,1.44,0.38,Medium,0.09,0.97,0.89,0.36,0.53,0.4,0.27,1.0,0.68,0.62
Marketing Manager,123242,18,Bachelor's,0.64,1.2,0.44,Medium,0.26,0.65,0.52,0.37,0.87,0.57,0.3,0.55,0.73,0.69
AI Engineer,168783,21,Bachelor's,0.85,1.5,0.23,Medium,0.36,0.97,0.9,0.18,0.61,0.25,0.0,0.7,0.82,0.84
Lawyer,141030,2,Master's,0.82,1.18,0.23,Medium,0.29,0.53,0.88,0.24,1.0,0.58,0.1,0.66,0.63,0.8
Doctor,166340,18,PhD,0.39,1.37,0.05,Low,0.08,0.83,0.97,0.25,0.87,1.0,1.0,0.33,0.66,0.94
Customer Support,34224,4,Bachelor's,0.55,0.96,0.86,High,0.75,0.33,0.38,0.72,0.38,0.91,0.0,0.6,0.31,0.48
Research Scientist,123655,25,PhD,0.58,1.3,0.05,Low,0.27,0.94,0.93,0.27,0.58,0.29,0.77,0.6,0.79,0.66
Nurse,73416,16,Bachelor's,0.41,0.98,0.12,Medium,0.37,0.7,0.67,0.27,0.67,0.88,0.8,0.66,0.3,0.83
Data Scientist,122880,6,Bachelor's,0.88,1.36,0.39,Medium,0.18,0.88,0.96,0.14,0.62,0.41,0.2,0.9,0.63,0.85
Research Scientist,112931,21,PhD,0.58,1.16,0.22,Low,0.1,0.91,0.91,0.19,0.8,0.63,0.7,0.65,0.81,0.63
Nurse,86644,24,Bachelor's,0.27,1.04,0.18,Medium,0.22,0.53,0.56,0.57,0.59,0.87,0.89,0.39,0.22,0.81
Research Scientist,111080,6,PhD,0.7,1.25,0.05,Low,0.3,0.95,0.92,0.31,0.74,0.42,0.6,0.6,0.69,0.71
Nurse,82426,2,Master's,0.42,1.08,0.15,Low,0.35,0.85,0.7,0.26,0.59,0.95,0.97,0.44,0.14,0.88
Chef,42484,20,High School,0.22,0.78,0.43,Medium,0.36,0.26,0.67,0.59,0.67,0.33,0.87,0.2,0.81,0.81
Customer Support,41699,28,Bachelor's,0.81,0.91,0.72,High,0.74,0.58,0.44,0.85,0.14,0.81,0.25,0.67,0.13,0.43
Chef,55767,23,High School,0.12,0.99,0.55,Medium,0.44,0.35,0.8,0.56,0.69,0.41,0.89,0.18,0.87,0.83
UX Researcher,83182,25,Bachelor's,0.42,1.14,0.27,Medium,0.43,0.71,0.85,0.25,0.51,0.8,0.31,0.79,0.78,0.59
Doctor,231975,19,PhD,0.48,1.18,0.05,Low,0.23,0.49,0.89,0.2,0.88,1.0,0.85,0.38,0.42,0.79
Teacher,52511,14,Master's,0.33,0.97,0.05,Low,0.33,0.47,0.56,0.4,0.75,1.0,0.17,0.21,0.59,0.8
Doctor,206457,25,PhD,0.3,1.21,0.11,Low,0.22,0.66,0.88,0.24,0.9,0.7,0.86,0.42,0.41,1.0
Security Guard,40253,26,Master's,0.19,0.67,0.68,High,0.74,0.3,0.46,0.74,0.02,0.36,0.6,0.47,0.02,0.69
Security Guard,44416,15,Bachelor's,0.0,0.61,0.84,High,0.77,0.25,0.41,0.88,0.44,0.48,0.62,0.45,0.0,0.61
Security Guard,40020,8,Master's,0.24,0.71,0.68,High,0.81,0.19,0.38,0.84,0.24,0.45,0.53,0.45,0.05,0.48
Research Scientist,95173,19,Master's,0.51,1.22,0.06,Low,0.38,0.9,0.88,0.21,0.99,0.29,0.66,0.64,0.86,0.8
Software Engineer,109292,5,Bachelor's,0.91,1.5,0.38,Medium,0.48,0.95,0.79,0.27,0.53,0.61,0.16,0.72,0.72,0.78
Nurse,101641,20,Bachelor's,0.42,1.02,0.05,Low,0.39,0.52,0.78,0.47,0.7,0.9,0.74,0.34,0.38,0.84
Mechanic,48760,25,High School,0.38,0.67,0.42,Medium,0.5,0.35,0.65,0.45,0.22,0.29,0.86,0.13,0.14,0.9
Graphic Designer,58099,5,Bachelor's,0.88,1.2,0.39,Medium,0.33,0.72,0.63,0.34,0.52,0.52,0.71,0.15,0.77,0.67
Retail Worker,39531,10,Bachelor's,0.37,0.88,0.67,High,0.93,0.66,0.18,0.87,0.16,0.68,0.25,0.37,0.12,0.51
HR Specialist,71694,24,Bachelor's,0.45,1.09,0.32,Medium,0.34,0.67,0.7,0.56,0.86,0.84,0.08,0.84,0.34,0.69
Chef,50121,2,High School,0.23,1.04,0.36,Medium,0.66,0.35,0.55,0.51,0.73,0.38,0.91,0.28,0.87,0.83
HR Specialist,71041,25,Bachelor's,0.47,1.03,0.22,Medium,0.38,0.57,0.69,0.56,0.67,0.91,0.19,0.61,0.32,0.5
Construction Worker,45907,23,High School,0.05,0.8,0.73,High,0.67,0.32,0.42,0.72,0.13,0.27,0.65,0.08,0.18,0.85
AI Engineer,174275,21,PhD,0.75,1.5,0.24,Low,0.22,0.78,1.0,0.22,0.62,0.3,0.15,0.52,0.85,0.63
Retail Worker,37568,23,Bachelor's,0.29,0.79,0.9,High,0.75,0.37,0.33,0.92,0.12,0.55,0.35,0.42,0.17,0.58
HR Specialist,74377,1,Bachelor's,0.53,1.06,0.33,Medium,0.29,0.64,0.43,0.44,0.67,0.97,0.17,0.48,0.2,0.6
HR Specialist,73079,9,Bachelor's,0.31,1.06,0.51,Medium,0.46,0.64,0.62,0.62,0.65,0.89,0.04,0.61,0.22,0.57
Financial Analyst,89782,6,Bachelor's,0.68,1.29,0.47,Medium,0.5,0.81,0.71,0.51,0.58,0.25,0.34,0.87,0.35,0.66
Truck Driver,49388,2,High School,0.19,0.98,0.87,High,0.68,0.19,0.29,0.89,0.24,0.27,0.86,0.08,0.16,0.44
Marketing Manager,94243,32,Master's,0.66,1.11,0.47,Medium,0.24,0.64,0.61,0.57,0.88,0.7,0.34,0.35,0.67,0.48
Nurse,92653,0,Bachelor's,0.33,1.11,0.17,Medium,0.33,0.62,0.71,0.41,0.46,0.98,0.82,0.57,0.11,0.83
Nurse,95538,0,Bachelor's,0.36,1.09,0.2,Medium,0.28,0.56,0.75,0.41,0.51,0.9,0.65,0.62,0.28,0.91
Data Scientist,113222,3,Master's,0.92,1.5,0.37,Medium,0.25,0.85,0.82,0.39,0.53,0.46,0.16,0.6,0.54,0.58
Data Scientist,128301,26,Bachelor's,0.93,1.49,0.35,Medium,0.3,0.78,0.99,0.29,0.58,0.47,0.3,0.8,0.52,0.52
Financial Analyst,74788,16,Bachelor's,0.85,1.07,0.43,Medium,0.43,0.74,0.71,0.57,0.67,0.34,0.19,1.0,0.43,0.49
Construction Worker,50229,25,High School,0.02,0.67,0.87,High,0.64,0.14,0.41,0.65,0.28,0.28,0.67,0.28,0.23,0.66
Retail Worker,39415,17,Bachelor's,0.19,0.85,0.74,High,0.76,0.41,0.47,0.69,0.3,0.74,0.34,0.47,0.1,0.48
Truck Driver,49657,27,Bachelor's,0.17,0.82,0.95,High,0.8,0.37,0.51,0.83,0.0,0.2,0.63,0.32,0.07,0.51
UX Researcher,103762,17,Master's,0.63,1.19,0.19,Low,0.35,0.84,0.76,0.25,0.58,0.96,0.28,0.5,0.75,0.81
Chef,43361,25,High School,0.13,0.79,0.62,Medium,0.7,0.35,0.71,0.6,0.36,0.47,0.91,0.24,0.73,0.76
Chef,58957,6,High School,0.24,0.97,0.52,Medium,0.46,0.4,0.66,0.81,0.64,0.27,0.89,0.13,0.58,0.96
Construction Worker,48341,17,High School,0.15,0.71,0.79,High,0.77,0.25,0.52,0.56,0.15,0.38,0.69,0.0,0.18,0.79
Research Scientist,112543,14,PhD,0.48,1.32,0.12,Low,0.21,0.97,0.96,0.33,0.82,0.25,0.75,0.66,0.68,0.55
Teacher,65182,27,Bachelor's,0.41,1.04,0.27,Medium,0.23,0.53,0.68,0.44,0.61,0.84,0.41,0.4,0.58,0.79
Graphic Designer,68679,13,Bachelor's,0.59,1.18,0.55,Medium,0.33,0.73,0.73,0.32,0.38,0.85,0.49,0.16,0.78,0.7
Mechanic,50452,23,High School,0.17,1.0,0.61,Medium,0.77,0.57,0.82,0.58,0.26,0.23,1.0,0.25,0.25,0.83
Security Guard,35838,6,Master's,0.0,0.78,0.79,High,0.7,0.34,0.38,0.86,0.19,0.25,0.51,0.6,0.1,0.68
Data Scientist,111470,26,Bachelor's,0.62,1.37,0.17,Medium,0.2,0.9,0.84,0.37,0.6,0.47,0.31,0.87,0.63,0.6
AI Engineer,123125,15,Master's,0.98,1.5,0.11,Medium,0.2,0.85,0.87,0.16,0.5,0.1,0.13,0.52,0.67,0.8
Mechanic,41426,7,High School,0.28,0.95,0.58,Medium,0.79,0.5,0.86,0.64,0.42,0.33,0.84,0.0,0.42,0.85
Marketing Manager,106475,6,Master's,0.58,1.22,0.31,Medium,0.24,0.67,0.62,0.44,0.91,0.53,0.24,0.47,0.81,0.75
Marketing Manager,99845,15,Bachelor's,0.77,1.13,0.4,Medium,0.28,0.69,0.68,0.5,0.84,0.72,0.07,0.46,0.89,0.7
Marketing Manager,74462,12,Bachelor's,0.67,1.4,0.42,Medium,0.37,0.88,0.8,0.41,0.75,0.44,0.18,0.47,0.84,0.68
Software Engineer,100023,0,PhD,0.85,1.35,0.28,Medium,0.27,0.72,0.81,0.35,0.67,0.39,0.33,0.7,0.62,0.74
Research Scientist,128267,13,PhD,0.57,1.38,0.18,Low,0.13,0.99,0.92,0.33,0.62,0.47,0.91,0.5,0.77,0.72
Research Scientist,119065,7,PhD,0.56,1.21,0.05,Low,0.28,0.84,0.62,0.44,0.78,0.23,0.64,0.76,0.94,0.79
Doctor,188656,0,PhD,0.49,1.21,0.25,Low,0.18,0.71,0.89,0.31,0.71,0.82,1.0,0.4,0.64,0.83
AI Engineer,175299,26,PhD,0.91,1.5,0.12,Low,0.19,0.81,0.9,0.05,0.55,0.16,0.27,0.57,0.63,0.93
Graphic Designer,68117,14,High School,0.7,1.21,0.49,Medium,0.45,0.8,0.54,0.58,0.27,0.6,0.62,0.33,0.94,0.55
Chef,45307,22,High School,0.2,0.91,0.65,Medium,0.4,0.27,0.6,0.6,0.54,0.25,1.0,0.15,0.67,0.78
Doctor,215739,14,PhD,0.62,0.97,0.21,Low,0.21,0.53,0.93,0.1,0.97,0.95,0.86,0.33,0.49,0.96
Data Scientist,117070,7,PhD,0.63,1.43,0.54,Medium,0.3,0.88,0.91,0.24,0.57,0.19,0.3,0.83,0.52,0.89
Truck Driver,57517,17,High School,0.2,0.82,0.87,High,0.81,0.2,0.49,0.94,0.24,0.16,0.65,0.27,0.16,0.31
Doctor,204651,10,PhD,0.57,1.24,0.05,Low,0.16,0.87,0.82,0.14,0.76,0.78,0.68,0.38,0.51,0.89
Construction Worker,47442,16,High School,0.09,0.59,0.79,High,0.69,0.2,0.6,0.68,0.14,0.27,0.86,0.24,0.14,0.81
Data Scientist,117486,9,PhD,0.76,1.41,0.23,Medium,0.33,0.8,0.9,0.15,0.42,0.44,0.16,0.82,0.6,0.6
HR Specialist,65112,21,Master's,0.48,1.0,0.41,Medium,0.4,0.48,0.74,0.36,0.68,0.7,0.26,0.67,0.35,0.69
Data Scientist,146708,16,PhD,0.83,1.38,0.22,Low,0.3,0.95,0.8,0.16,0.61,0.37,0.26,0.79,0.62,0.54
Construction Worker,44639,24,High School,0.11,0.68,0.9,High,0.89,0.18,0.57,0.62,0.23,0.17,0.85,0.06,0.2,0.87
Mechanic,55794,21,High School,0.32,0.76,0.66,High,0.48,0.33,0.75,0.81,0.29,0.46,0.89,0.39,0.13,0.71
Doctor,204306,1,PhD,0.58,1.07,0.16,Low,0.04,0.45,0.93,0.21,0.77,0.89,1.0,0.37,0.55,0.84
Teacher,52860,20,Bachelor's,0.49,0.91,0.18,Medium,0.33,0.58,0.56,0.68,0.82,0.91,0.07,0.36,0.87,0.78
UX Researcher,103672,21,Master's,0.72,1.26,0.2,Low,0.31,0.94,0.82,0.22,0.36,0.87,0.22,0.52,0.68,0.67
Chef,51363,16,High School,0.32,0.7,0.73,Medium,0.5,0.33,0.59,0.72,0.54,0.23,0.89,0.2,0.82,0.94
Teacher,68391,6,Master's,0.46,0.94,0.29,Medium,0.28,0.59,0.49,0.58,0.72,0.86,0.11,0.54,0.48,0.74
Truck Driver,63320,11,High School,0.1,0.81,0.92,High,0.84,0.18,0.25,0.69,0.27,0.15,0.89,0.2,0.01,0.44
Construction Worker,51261,30,High School,0.12,0.62,0.75,High,0.72,0.15,0.56,0.6,0.06,0.12,0.58,0.05,0.17,0.74
Doctor,208681,28,PhD,0.51,1.13,0.13,Low,0.32,0.82,0.87,0.02,0.74,0.84,0.83,0.33,0.43,0.86
Security Guard,40347,18,High School,0.04,0.8,0.95,High,0.74,0.32,0.44,0.71,0.33,0.3,0.34,0.54,0.02,0.63
Software Engineer,96116,14,Master's,0.77,1.49,0.38,Medium,0.06,1.0,0.97,0.15,0.35,0.57,0.23,0.52,0.47,0.66
Chef,44093,19,High School,0.11,0.86,0.61,Medium,0.48,0.37,0.56,0.45,0.65,0.5,0.74,0.31,0.8,0.91
Data Scientist,120261,19,Master's,0.62,1.46,0.31,Medium,0.29,0.65,0.88,0.41,0.51,0.36,0.18,0.51,0.77,0.61
Truck Driver,60151,27,High School,0.3,0.86,0.91,High,0.85,0.29,0.53,0.94,0.18,0.11,0.68,0.11,0.16,0.39
AI Engineer,136650,25,Master's,0.86,1.5,0.42,Low,0.33,0.92,0.96,0.21,0.42,0.21,0.27,0.52,0.92,0.84
Software Engineer,132835,0,Bachelor's,0.77,1.5,0.33,Low,0.2,0.82,0.91,0.07,0.67,0.44,0.42,0.44,0.82,0.92
Financial Analyst,95483,4,Bachelor's,0.64,1.16,0.57,Medium,0.37,0.88,0.7,0.45,0.65,0.48,0.14,1.0,0.23,0.35
Retail Worker,35286,29,High School,0.19,0.95,0.89,High,0.81,0.4,0.23,0.88,0.25,0.69,0.39,0.56,0.16,0.71
Construction Worker,41704,2,Bachelor's,0.17,0.67,0.88,High,0.62,0.41,0.5,0.56,0.34,0.31,0.89,0.22,0.23,0.74
Nurse,76566,18,Master's,0.11,1.14,0.22,Low,0.5,0.6,0.77,0.18,0.64,0.84,0.97,0.56,0.32,0.85
Truck Driver,63670,2,High School,0.01,0.84,0.95,High,0.7,0.46,0.6,0.94,0.36,0.14,0.52,0.3,0.14,0.46
Marketing Manager,90573,6,Master's,0.51,1.18,0.61,Medium,0.35,0.73,0.6,0.45,0.89,0.72,0.32,0.38,0.85,0.58
Doctor,189994,5,PhD,0.48,1.3,0.21,Low,0.09,0.64,0.81,0.15,0.78,0.98,0.87,0.24,0.61,0.82
Chef,48333,6,High School,0.24,1.0,0.39,Medium,0.49,0.34,0.72,0.71,0.65,0.31,1.0,0.22,0.79,0.9
Financial Analyst,91085,31,Master's,0.68,0.89,0.33,Medium,0.52,0.84,0.95,0.57,0.57,0.41,0.31,0.75,0.2,0.44
Graphic Designer,52010,4,Bachelor's,0.65,1.13,0.5,Medium,0.04,0.76,0.65,0.21,0.26,0.61,0.69,0.03,0.98,0.68
Financial Analyst,98813,20,Master's,0.7,1.21,0.52,Medium,0.6,0.92,0.92,0.56,0.61,0.36,0.2,1.0,0.27,0.41
Teacher,59615,2,Master's,0.43,0.9,0.13,Medium,0.44,0.7,0.56,0.59,0.73,1.0,0.31,0.5,0.86,0.86
Customer Support,41314,0,Bachelor's,0.6,0.9,0.59,High,0.7,0.57,0.36,1.0,0.32,0.77,0.12,0.71,0.29,0.45
Customer Support,36214,17,Bachelor's,0.71,0.97,0.61,High,0.76,0.35,0.42,0.85,0.47,0.72,0.07,0.51,0.07,0.63
Chef,41948,9,Master's,0.18,1.1,0.62,Medium,0.65,0.33,0.82,0.61,0.59,0.37,0.87,0.05,0.83,0.8
Chef,43027,12,High School,0.24,0.84,0.57,Medium,0.57,0.31,0.68,0.51,0.61,0.47,0.79,0.21,0.82,0.73
AI Engineer,119320,8,Bachelor's,1.0,1.5,0.19,Medium,0.14,0.92,0.79,0.23,0.51,0.41,0.43,0.41,0.85,0.73
Software Engineer,104829,25,High School,0.8,1.5,0.4,Medium,0.4,0.77,0.95,0.21,0.48,0.3,0.38,0.52,0.76,0.67
UX Researcher,80988,5,Bachelor's,0.62,1.13,0.38,Medium,0.19,0.81,0.72,0.32,0.75,0.72,0.42,0.65,0.72,0.55
Data Scientist,131153,23,Bachelor's,0.66,1.45,0.23,Medium,0.33,0.85,1.0,0.3,0.52,0.29,0.31,0.74,0.6,0.8
Software Engineer,109591,4,Bachelor's,0.61,1.3,0.4,Medium,0.25,0.9,0.9,0.37,0.56,0.38,0.31,0.56,0.55,0.73
Teacher,61819,21,Bachelor's,0.54,1.09,0.17,Medium,0.49,0.51,0.52,0.41,0.77,0.94,0.28,0.31,0.61,0.64
Mechanic,54712,12,High School,0.3,0.86,0.45,Medium,0.61,0.49,0.57,0.45,0.46,0.34,1.0,0.18,0.28,0.74
HR Specialist,61400,17,Master's,0.5,0.85,0.48,Medium,0.31,0.61,0.56,0.37,0.73,0.77,0.18,0.58,0.56,0.69
Graphic Designer,65538,16,Bachelor's,0.78,1.11,0.51,Medium,0.3,0.77,0.43,0.5,0.39,0.53,0.64,0.32,0.9,0.73
Nurse,75925,0,Bachelor's,0.41,1.19,0.08,Medium,0.51,0.49,0.63,0.5,0.33,0.89,0.66,0.45,0.27,0.76
Retail Worker,22232,23,Bachelor's,0.36,0.67,0.88,High,0.74,0.29,0.53,0.99,0.08,0.76,0.36,0.51,0.19,0.43
Truck Driver,48954,14,High School,0.31,0.73,0.95,High,0.9,0.31,0.35,0.77,0.11,0.04,0.6,0.18,0.07,0.64
Nurse,84536,3,Bachelor's,0.24,1.21,0.34,Medium,0.52,0.6,0.69,0.59,0.65,0.87,0.66,0.54,0.38,0.74
Financial Analyst,87161,14,High School,0.73,1.18,0.53,Medium,0.53,0.76,0.68,0.35,0.58,0.5,0.14,0.91,0.32,0.54
Construction Worker,42905,26,Bachelor's,0.04,0.96,0.74,Medium,0.68,0.11,0.63,0.79,0.14,0.35,0.85,0.16,0.03,0.9
Graphic Designer,63024,17,Bachelor's,0.83,1.13,0.66,Medium,0.14,0.76,0.86,0.33,0.36,0.38,0.74,0.07,0.8,0.57
Truck Driver,57654,3,High School,0.4,0.84,0.93,High,0.94,0.38,0.38,0.93,0.14,0.21,0.61,0.4,0.2,0.55
Marketing Manager,94546,14,PhD,0.6,1.19,0.43,Low,0.26,0.77,0.69,0.29,0.76,0.71,0.29,0.48,0.68,0.71
Lawyer,132544,6,Master's,0.85,1.05,0.52,Medium,0.31,0.62,0.99,0.5,0.74,0.64,0.1,0.77,0.64,0.77
Doctor,218316,24,PhD,0.44,1.22,0.12,Low,0.18,0.85,0.95,0.24,0.68,0.97,0.81,0.29,0.47,0.84
Lawyer,135839,25,PhD,0.69,0.9,0.24,Low,0.28,0.46,1.0,0.51,0.61,0.8,0.12,0.79,0.49,0.8
Financial Analyst,71461,20,Bachelor's,0.72,1.19,0.56,Medium,0.48,0.92,0.58,0.66,0.71,0.47,0.43,0.85,0.5,0.49
Software Engineer,134760,8,Bachelor's,0.88,1.38,0.3,Medium,0.42,0.9,0.86,0.43,0.45,0.26,0.25,0.66,0.84,0.71
UX Researcher,110722,0,Bachelor's,0.85,1.06,0.24,Medium,0.33,0.66,0.76,0.27,0.59,0.81,0.37,0.46,0.81,0.7
Research Scientist,132203,5,PhD,0.52,1.37,0.23,Low,0.11,0.89,0.89,0.28,0.7,0.41,0.66,0.73,0.68,0.63
Marketing Manager,105145,8,Master's,0.68,1.32,0.44,Medium,0.58,0.6,0.56,0.47,0.59,0.68,0.41,0.35,0.6,0.55
Graphic Designer,68166,23,Bachelor's,0.88,1.02,0.57,Medium,0.29,0.91,0.55,0.37,0.54,0.78,0.58,0.0,0.82,0.56
Research Scientist,109422,20,PhD,0.64,1.26,0.13,Low,0.17,0.88,1.0,0.43,0.68,0.51,0.74,0.61,0.89,0.71
Truck Driver,51644,7,High School,0.27,0.86,0.95,High,1.0,0.16,0.35,0.89,0.24,0.33,0.6,0.16,0.18,0.58
Lawyer,144817,14,PhD,0.71,1.1,0.28,Low,0.11,0.6,0.74,0.33,0.71,0.78,0.21,0.57,0.59,0.66
Truck Driver,57995,26,High School,0.26,0.8,0.9,High,0.83,0.22,0.36,0.95,0.25,0.33,0.59,0.33,0.06,0.52
Security Guard,35496,21,Master's,0.1,0.69,0.74,High,0.84,0.29,0.22,0.83,0.24,0.33,0.37,0.65,0.15,0.58
Customer Support,41778,15,Bachelor's,0.64,0.87,0.76,High,0.59,0.42,0.53,0.81,0.24,0.85,0.12,0.75,0.34,0.45
Software Engineer,127454,10,Master's,0.81,1.36,0.56,Medium,0.24,0.64,0.75,0.17,0.51,0.37,0.17,0.57,0.75,0.75
Teacher,63357,17,Master's,0.39,1.06,0.13,Medium,0.11,0.59,0.46,0.59,0.78,0.81,0.22,0.35,0.37,0.83
Security Guard,51031,0,Bachelor's,0.0,0.64,0.59,High,0.77,0.4,0.29,0.74,0.05,0.3,0.38,0.6,0.03,0.61
Doctor,208051,10,PhD,0.48,1.35,0.05,Low,0.16,0.57,0.88,0.26,0.68,0.98,0.82,0.35,0.55,0.83
Construction Worker,53704,9,High School,0.0,0.85,0.75,High,0.7,0.17,0.51,0.46,0.02,0.36,0.9,0.01,0.18,0.83
Data Scientist,126358,28,High School,0.8,1.48,0.35,Medium,0.37,0.7,0.81,0.27,0.67,0.65,0.18,0.66,0.64,0.83
Data Scientist,124357,26,Bachelor's,0.88,1.49,0.13,Medium,0.31,0.81,1.0,0.37,0.5,0.44,0.3,0.92,0.59,0.66
Teacher,53058,1,Bachelor's,0.26,1.12,0.12,Medium,0.42,0.48,0.64,0.36,0.81,0.87,0.43,0.45,0.48,0.94
UX Researcher,81942,12,PhD,0.63,1.07,0.26,Low,0.36,0.89,0.72,0.27,0.61,0.73,0.47,0.51,0.53,0.73
Construction Worker,51818,14,High School,0.07,0.61,0.69,High,0.67,0.19,0.46,0.78,0.31,0.33,0.77,0.1,0.2,0.72
UX Researcher,92795,1,Master's,0.73,1.12,0.24,Medium,0.26,0.85,0.95,0.43,0.53,0.88,0.2,0.57,0.75,0.6
Mechanic,53193,13,High School,0.0,1.09,0.69,Medium,0.63,0.13,0.52,0.58,0.31,0.36,0.74,0.12,0.34,0.76
HR Specialist,80423,22,Bachelor's,0.45,0.91,0.4,Medium,0.4,0.72,0.64,0.43,0.67,0.66,0.19,0.81,0.47,0.74
Chef,51000,21,High School,0.2,0.77,0.34,Medium,0.47,0.43,0.68,0.75,0.6,0.47,1.0,0.18,0.82,0.93
UX Researcher,113686,11,Bachelor's,0.65,1.04,0.32,Medium,0.19,0.67,1.0,0.25,0.62,0.92,0.24,0.4,0.83,0.52
